name    max_rating  games_played    rating_progression  total_playing_time  total_tv_timeabcbot,2679.32,2681,631,0,3301382,173982
abcbot,2679.32,2681,631,0,3301382,173982
admete_bot,2339.89,2395,1251,3,1493475,125020
ajedrezchamberi,2280.44,2302,494,61,526813,24204
aks-mantissa,2512.8,2618,6909,-9,12768490,1362803
arduchessbot,1799.62,1887,4359,-10,607836,3583
baby_eubos,1788.12,1872,2730,19,3067316,28768
berlinwallwall,2012.23,2877,618,-7,238444,3474
bernd_der_bot,994.81,1198,353,-3,165339,0
blank_bot,2007.07,2180,5628,-9,4112467,165057
blundar_bot,2780.81,2865,3294,-4,1565464,215490
bobandi,1229.61,1270,986,-14,1136311,995
bobby-bot,1330.42,1340,330,33,172422,388
bot_adario,2329.91,2351,1426,5,1486801,353829
botgravity,2882.3,2938,3034,-8,778132,191802
caissa-ai,3000.16,3000,11246,6,5462354,1301919
caissa-x,2925.98,2965,15300,-5,9689192,3020987
cheng-4,2393.34,2556,11648,-10,17938064,3127375
chessbot2156,2892.8,2901,2523,11,1618903,100861
chessbot2880,2893.43,2948,1816,4,288278,47900
chesschildren,1813.46,2254,13321,8,19576393,2369915
chessfybot,2788.22,2856,1493,-8,672088,186822
davidsguterbot,1507.78,1631,5006,4,2325677,3701
elmichess,2603.81,2616,3237,3,7891759,2071978
elo_1500,1656.72,2354,2372,4,5387232,256887
eubos,2091.51,2209,9972,-4,14419582,1855175
expositor,2500.62,2630,13770,-8,13540738,1459167
fataliibot,2178.32,2208,4532,17,7656534,166606
fisk_bot,1752.42,1840,94,-14,441115,810
fornax-engine,2284.32,2360,5783,1,8209932,971464
frozenightengine,2592.25,2626,8851,-1,29383033,1825529
gambitengine,1823.88,1979,149,-103,799409,743
garbobot,2091.36,2767,8664,4,13073006,2045748
gptplayschess,956.29,1252,76,-12,34348,0
halcyonbot,2015.79,2099,2175,-2,7273981,129269
historyexplorer,2139.36,2144,1947,17,1979748,39805
honzovy-sachy,1797.73,1918,3831,0,4441304,360483
honzovy-sachy-2,2188.83,2231,6035,10,10908484,1155553
hulkbot,1583.95,2475,1211,-35,1560603,72450
humaia,1556.86,1614,289,-33,4280039,3559
humaia-strong,1986.36,2038,1373,27,2311705,31318
humanian,2187.41,2262,3797,15,5387342,324253
jangine,2097.73,2187,1542,3,3011939,90421
jest-bot,2864.13,2885,1639,-4,841914,182226
jibbby,1633.7,1678,1290,-5,3471168,33481
joseppegodo,2686.3,2777,846,-1,522765,28883
juroj,2690.33,2797,2460,-35,25821046,1633779
karpov_bot,2853.47,2871,35068,-14,5340477,1720866
knucklefish,1263.35,1621,2506,-20,624616,1572
lazybot,2651.42,2675,1278,19,1918755,368986
lazybotjr,2145.33,2355,774,-15,1219474,64332
leelalevel5,2001.56,2457,3785,-12,9474242,43490
leorikbot,2239.42,2322,835,22,944514,48162
