Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
mustafayilmazbot,3215.49,3307,1151,2,210515,7374
super-sketchy,3005.78,3010,1142,8,990435,143029
caissa-ai,3000.16,3000,11246,6,5471690,1301919
medipoluniversity,2995.68,3006,369,4,155614,12178
qalatbotengine,2936.99,2940,4173,1,1948448,604415
yellowflash-x,2926.12,2932,338,9,56644,13469
caissa-x,2925.98,2965,15300,-5,9689192,3020987
thematrix2029,2922.74,2952,1931,4,1289506,296236
torombot,2919.05,2953,50223,-3,13110987,5263590
pangubot,2905.2,2952,1559,1,824229,186593
yobot_v2,2901.71,2956,15685,4,19596422,5184671
md211bot,2896.52,2902,1985,19,904004,190917
chessbot2880,2893.43,2948,1816,4,288278,47900
chessbot2156,2892.8,2901,2523,11,1618903,100861
nikitosikbot,2887.71,3056,14446,-3,17898369,2442721
resolutebot,2887.37,3043,25803,-4,18539086,7067388
botgravity,2882.3,2938,3034,-8,778132,191802
proteussf,2880.69,2880,237,2,469247,71325
mate-ai,2878.31,2926,9595,1,5498985,1457073
thematrix2025,2870.88,2950,4817,-8,1362035,269042
yellowflash_v2,2867.93,2889,229,-8,37351,7004
jest-bot,2864.13,2885,1639,-4,841914,182226
mayhem23111,2860.04,2879,252,27,215217,47055
raspfish,2856.53,2983,35717,7,15077154,3394070
karpov_bot,2840.05,2871,35077,-18,5341333,1720866
shineshou90_bot,2836.19,2866,2993,6,2353805,516813
proteussf-lite,2830.33,2839,937,6,1501315,191358
chessfybot,2788.22,2856,1493,-8,672088,186822
blundar_bot,2780.81,2865,3294,-4,1565464,215490
juroj,2690.33,2797,2460,-35,25824856,1635661
joseppegodo,2686.3,2777,846,-1,522765,28883
abcbot,2679.32,2681,631,0,3301382,173982
lazybot,2651.42,2675,1278,19,1918755,368986
elmichess,2603.81,2616,3237,3,7891759,2071978
frozenightengine,2592.25,2626,8851,-1,29383033,1825529
sf_bot,2582.35,2700,35,9,12082897,2354
playwithkomodo,2532.57,2596,1983,-6,1208772,41434
saxtonengine,2531.71,2574,2551,12,3537883,374440
aks-mantissa,2525.23,2618,6914,7,12773481,1362803
materialisoverrated,2524.27,2596,3434,10,2243754,92540
expositor,2511.59,2630,13774,7,13545993,1459167
weiawaga,2412.73,2487,11602,16,35420115,4429912
cheng-4,2399.97,2556,11651,1,17939412,3127375
pawn_git,2394.55,2518,1728,12,2078426,152893
misteick_bot,2359.72,2508,10081,5,6187533,261685
requinbot,2359.12,2359,201,17,147124,5810
renegadeengine,2339.52,2348,933,-4,1607002,20953
admete_bot,2337.64,2395,1254,1,1498470,125020
bot_adario,2327.49,2351,1429,-1,1489137,353829
phalanx-xxv,2317.42,2417,2944,-7,3115753,826567
odonata-bot,2311.91,2410,4430,-4,7610674,671773
pseudo-0,2296.95,2361,2867,-15,3885957,733779
fornax-engine,2291.19,2360,5785,12,8212164,971464
simpleeval,2287.15,2410,22951,3,29621697,3300766
ajedrezchamberi,2280.44,2302,494,61,526813,24204
leorikbot,2238.82,2322,837,14,945038,48162
simplereval,2218.97,2320,2347,16,6602838,390332
fataliibot,2179.45,2208,4537,15,7662038,166606
humanian,2177.12,2262,3799,11,5389439,324253
honzovy-sachy-2,2175.77,2231,6039,-4,10911794,1155553
lazybotjr,2145.33,2355,774,-15,1219474,64332
historyexplorer,2139.36,2144,1947,17,1979748,39805
lunachessengine,2112.57,2149,554,-12,3683821,15500
maxthedog,2102.03,2193,8164,17,2906207,67645
jangine,2095.55,2187,1543,-4,3017571,90421
eubos,2080.86,2209,9979,-9,14422436,1855175
garbobot,2079.28,2767,8667,3,13075940,2045748
rootengine,2058.68,2159,2401,-1,5529796,242100
lynx_bot,2046.5,2170,4490,21,57972354,2765483
halcyonbot,2017.75,2099,2179,7,7285002,129269
berlinwallwall,2012.23,2877,618,-7,238444,3474
leelalevel5,2011.36,2457,3787,6,9477729,43490
blank_bot,1999.45,2180,5630,-22,4114802,165057
humaia-strong,1986.36,2038,1373,27,2311705,31318
zagreus_engine,1980.58,2024,2054,-18,3213129,24392
zeekat,1953.31,2061,13283,-13,23637278,347850
theoden8_uci,1927.23,2012,2639,2,3921158,84836
sunfish_rs,1924.34,2170,1735,0,3112966,990519
notropis,1883.15,1920,2096,10,0,0
queensgambot,1882.24,2074,4077,-18,1918470,91687
gambitengine,1823.88,1979,149,-103,799409,743
virutor,1821.56,2018,5609,13,9603953,776106
chesschildren,1813.46,2254,13321,8,19577720,2369915
arduchessbot,1799.62,1887,4359,-10,607836,3583
honzovy-sachy,1797.28,1918,3832,2,4441498,360483
baby_eubos,1789.3,1872,2737,6,3070633,28768
melsh_bot,1781.8,1847,1867,-41,1072176,7165
fisk_bot,1752.42,1840,94,-14,441115,810
simplexitor,1735.15,1814,1372,-24,1920733,8070
maia5,1713.15,2047,36744,29,260856171,3769352
turkjs,1688.33,2201,20480,16,19452213,2193859
maia9,1671.16,2282,57488,23,227989299,9077684
elo_1500,1656.29,2354,2374,4,5392399,256887
yz-bot-test,1648.19,1743,135,12,12495,0
jibbby,1633.7,1678,1290,-5,3471168,33481
sargon-4ply,1625.66,1940,979,-3,1382702,15641
hulkbot,1583.95,2475,1211,-35,1560603,72450
sargon-3ply,1560.92,1833,740,-5,1864758,12276
maia1,1557.85,1976,115811,27,518299439,2952337
humaia,1556.86,1614,289,-33,4280101,3559
turochamp-2ply,1550.82,1918,1028,-8,1795376,14950
davidsguterbot,1512.7,1631,5007,0,2325846,3701
turochamp-1ply,1512.1,1704,1253,12,2872697,4034
sargon-1ply,1460.77,1888,3636,9,7627764,8434
monchester,1459.2,1860,1795,-8,714644,9269
roundmoundofrebounds,1456.53,1523,719,-27,1495635,391
sargon-2ply,1449.55,1755,1757,-33,4001166,8590
bobby-bot,1330.42,1340,330,33,172422,388
yeoldwiz,1283.46,1643,576,27,1766645,18767
knucklefish,1275.08,1621,2507,-9,624637,1572
pawnrobot,1253.77,1467,3479,-13,1839543,971
bobandi,1229.59,1270,987,-14,1136858,995
bernd_der_bot,994.81,1198,353,-3,165339,0
gptplayschess,956.29,1252,76,-12,34348,0
