Name,Current Rating,Maximum Rating,Total Games Played,Rating Progression,Total Playing Time,Total Time on TV
abcbot,2728.35,2773,774,-2,3875052,208179
abotwith3200rating,1153.84,1493,226,-12,113859,0
admete_bot,2402.52,2527,6720,0,7029676,297664
ajedrezchamberi,2342.54,2342,274,95,724944,24204
aks-mantissa,2545.29,2716,10243,18,16704648,1558528
apotheosis_bot,2429.11,2444,402,8,869700,14886
arasanx,2813.57,2831,1880,1,9331410,682081
arny_bot,1484.7,1625,101,1,34408,0
ashnostromo,1669.43,1775,1062,-11,2276750,10634
baby_eubos,1826.68,1940,8071,3,6097816,33819
babyultimate,2893.97,2895,356,11,550521,107590
bcbchess,2095.18,2158,852,-38,1133593,8759
blank_bot,1970.19,2151,4986,0,6323563,173429
blundar_bot,2772.95,2829,1479,5,4045157,462379
bobandi,1096.63,1385,1385,11,1478915,995
boris-trapsky,2126.45,2250,28809,-16,71566933,7772644
bot_adario,2485.36,2494,2261,0,3121248,387429
bot_elvisthecat,2010.97,2059,876,8,971225,7247
botgravity,2844.05,2861,106,-1,842243,203374
botpr0,2210.44,2227,385,-3,910873,136788
caissa-ai,3077.35,3137,4577,-9,12975797,4740766
caissa-test,2812.86,2897,39,-68,4969912,3105399
camel_bot,2098.91,2127,576,12,950079,7871
catriever,2471.56,2837,766,-1,1022955,61726
chat_bot,1401.39,1592,259,-48,125357,96
cheng-4,2473.19,2577,6701,14,20529516,3185812
chess-2-bot,1968.92,2017,3714,-11,3631603,38213
chessbot2880,2841.75,2846,305,-5,1541050,263526
chesschildren,1637.56,2088,22835,-4,23413573,2372473
chessfybot,2819.28,2850,211,-12,672088,186822
chessnoobcomp,2393.27,2424,1709,10,3977342,1249297
chessvbot,2771.15,2841,95,-15,387675,12976
chompbot,1060.05,1157,1977,-3,1009771,0
clueless-bot,2329.37,2399,2963,-25,4267091,553790
codingadventurebot,2682.41,2682,3247,1,2032288,10514
davidsguterbot,1487.23,1519,3751,-14,3116637,4255
demolito_l5,1684.74,1859,1192,-17,1497654,825
demolito_l6,1877.66,1980,478,-5,799847,1526
dlvc-bot,1672.27,1795,1394,-15,308770,0
dragobot,1256.38,1747,79,-32,95010,1718
dragonflybot,1779.24,1908,2434,-17,1728417,62559
dummyette,1536.4,1659,2846,-18,4049646,3799
elmichess,2011.3,2265,3671,-8,8361935,2076644
elo_1500,2456.62,2479,14840,18,8901061,273919
etabetaita,2893.69,2910,1972,9,1080554,369066
eubos,2105.04,2222,15223,-28,17103172,1876868
expositor,2570.09,2729,7466,5,18356623,1707096
fataliibot,2267.13,2302,7370,23,11492600,211901
firefishbot,2855.43,2912,2487,-3,1753624,214025
firefishbot_v2,2873.62,2914,2308,-9,1204242,187857
fisk_bot,1748.75,1810,1617,14,839835,810
flounderbot,1849.02,1874,2022,-11,1383391,1097
fornax-engine,2341.84,2414,6859,-8,9697104,1003301
garbobot,2156.58,2448,9575,25,15497791,2055686
gptplayschess,1447.4,1501,38,-8,34348,0
halcyonbot,2231.23,2267,10264,-18,16610759,177444
hans68bot,1848.23,1900,17,-198,411425,6598
hardrok,1592.03,1674,836,20,827541,68
historyexplorer,2185.99,2295,2787,-3,2690176,45688
honzovy-sachy,1725.21,1962,5331,-24,5931481,363320
honzovy-sachy-2,2144.44,2271,7125,-17,13014484,1170305
hulkbot,1119.14,2578,785,-62,1734616,72565
humaia,1372.97,1536,930,27,6501353,3871
humaia-strong,1994.98,2090,2563,14,2918193,31495
humanian,2238.8,2330,13145,-11,6993808,342141
hyperopic,2104.31,2153,2138,-17,2188602,12885
jangine,2126.93,2224,3444,7,5121195,101266
jibbby,1664.78,1760,5842,9,7064683,39346
